id|rightsId|version
010006900007908D|00000000000000000000000000000000|0
010006900007908E|00000000000000000000000000000000|0
010006900007908F|00000000000000000000000000000000|0
0100069000079094|00000000000000000000000000000000|0
0100069000079095|00000000000000000000000000000000|0
0100069000079096|00000000000000000000000000000000|0
0100069000079097|00000000000000000000000000000000|0
0100069000079098|00000000000000000000000000000000|0
0100069000079099|00000000000000000000000000000000|131072
010006900007909A|00000000000000000000000000000000|131072
010006900007909B|00000000000000000000000000000000|0
010006900007909C|00000000000000000000000000000000|65536
010006900007909D|00000000000000000000000000000000|65536
010006900007909E|00000000000000000000000000000000|0
010006900007909F|00000000000000000000000000000000|0
01000690000790A0|00000000000000000000000000000000|0
01000690000790A1|00000000000000000000000000000000|0
01000690000790A2|00000000000000000000000000000000|0
01000690000790A3|00000000000000000000000000000000|131072
01000690000790A4|00000000000000000000000000000000|65536
01000690000790A5|00000000000000000000000000000000|131072
01000690000790A6|00000000000000000000000000000000|65536
01000690000790A8|00000000000000000000000000000000|65536
01000690000790A9|00000000000000000000000000000000|0
01000690000790AA|00000000000000000000000000000000|131072
01000690000790AB|00000000000000000000000000000000|65536
01000690000790B0|00000000000000000000000000000000|0
01000690000790B1|00000000000000000000000000000000|131072
01000690000790B2|00000000000000000000000000000000|0
01000690000790B3|00000000000000000000000000000000|131072
01000690000790B4|00000000000000000000000000000000|131072
01000690000790B5|00000000000000000000000000000000|65536
01000690000790B6|00000000000000000000000000000000|0
01000690000790B7|00000000000000000000000000000000|65536
01000690000790B8|00000000000000000000000000000000|196608
01000690000790B9|00000000000000000000000000000000|65536
01000690000790BA|00000000000000000000000000000000|131072
01000690000790C0|00000000000000000000000000000000|65536
01000690000790C1|00000000000000000000000000000000|0
01000690000790C2|00000000000000000000000000000000|0
01000690000790C3|00000000000000000000000000000000|65536
01000690000790C4|00000000000000000000000000000000|65536
01000690000790C5|00000000000000000000000000000000|0
01000690000790C6|00000000000000000000000000000000|0
01000690000790C7|00000000000000000000000000000000|0
01000690000790C8|00000000000000000000000000000000|0
01000690000790C9|00000000000000000000000000000000|0
01000690000790CA|00000000000000000000000000000000|0
01000690000790CB|00000000000000000000000000000000|0
01000690000790CC|00000000000000000000000000000000|0
01000690000790CD|00000000000000000000000000000000|65536
01000690000790CE|00000000000000000000000000000000|65536
01000690000790CF|00000000000000000000000000000000|0
01000690000790D4|00000000000000000000000000000000|0
01000690085BE800|00000000000000000000000000000000|65536
01000690114B2800|00000000000000000000000000000000|65536
010006A0042F0800|00000000000000000000000000000000|65536
010006C00CC10800|00000000000000000000000000000000|196608
010006F00EE72800|00000000000000000000000000000000|65536
010006F011220800|00000000000000000000000000000000|65536
010006F011221001|00000000000000000000000000000000|0
010006F011221002|00000000000000000000000000000000|0
010006F011221003|00000000000000000000000000000000|0
010006F011221004|00000000000000000000000000000000|0
010006F011221005|00000000000000000000000000000000|0
010006F011221006|00000000000000000000000000000000|0
010006F011221007|00000000000000000000000000000000|0
010006F011221008|00000000000000000000000000000000|0
010006F011221009|00000000000000000000000000000000|0
010006F01122100A|00000000000000000000000000000000|0
010006F01122100B|00000000000000000000000000000000|0
010006F01122100C|00000000000000000000000000000000|0
010006F01122100D|00000000000000000000000000000000|0
010006F01122100E|00000000000000000000000000000000|0
010006F01122100F|00000000000000000000000000000000|0
010006F011221010|00000000000000000000000000000000|0
010006F011221011|00000000000000000000000000000000|0
010006F011221012|00000000000000000000000000000000|0
010006F011221015|00000000000000000000000000000000|0
010007300C482800|00000000000000000000000000000000|131072
010007300DE1E800|00000000000000000000000000000000|131072
0100073011382800|00000000000000000000000000000000|196608
0100073011383001|00000000000000000000000000000000|0
0100073011383002|00000000000000000000000000000000|0
0100073011383003|00000000000000000000000000000000|0
0100073011383004|00000000000000000000000000000000|0
0100073011383005|00000000000000000000000000000000|0
0100073011383006|00000000000000000000000000000000|0
0100073011383007|00000000000000000000000000000000|0
0100073011383008|00000000000000000000000000000000|0
0100073011383009|00000000000000000000000000000000|0
010007400EB64800|00000000000000000000000000000000|196608
010007400FF24800|00000000000000000000000000000000|65536
0100074010F1C800|00000000000000000000000000000000|131072
01000750084B2800|00000000000000000000000000000000|131072
010007700CFA2800|00000000000000000000000000000000|65536
010007700D4AC800|00000000000000000000000000000000|196608
010007A00980C800|00000000000000000000000000000000|65536
010007B010FCC800|00000000000000000000000000000000|131072
010007B010FCD001|00000000000000000000000000000000|0
010007B010FCD002|00000000000000000000000000000000|0
010007B010FCD003|00000000000000000000000000000000|0
010007B010FCD004|00000000000000000000000000000000|0
010007B010FCD005|00000000000000000000000000000000|0
010007B010FCD006|00000000000000000000000000000000|0
010007B010FCD007|00000000000000000000000000000000|0
010007B010FCD008|00000000000000000000000000000000|0
010007B010FCD009|00000000000000000000000000000000|0
010007B010FCD00A|00000000000000000000000000000000|0
010007B010FCD00B|00000000000000000000000000000000|0
010007B010FCD00C|00000000000000000000000000000000|0
010007B010FCD00D|00000000000000000000000000000000|0
010007C00B508800|00000000000000000000000000000000|393216
010007C00B509001|00000000000000000000000000000000|0
010007C00B509002|00000000000000000000000000000000|0
010007C00B509003|00000000000000000000000000000000|0
010007C00B509004|00000000000000000000000000000000|0
010007D00D43A800|00000000000000000000000000000000|131072
010007E00A1A4800|00000000000000000000000000000000|65536
010007F00879E800|00000000000000000000000000000000|262144
010007F00879F001|00000000000000000000000000000000|0
010007F00879F002|00000000000000000000000000000000|0
010007F00879F003|00000000000000000000000000000000|65536
010007F00879F004|00000000000000000000000000000000|65536
010007F00879F005|00000000000000000000000000000000|65536
010007F00879F006|00000000000000000000000000000000|65536
